"X","Y","Z","Intensity"
1.032,-5.371,1.465,54.000
1.008,-5.342,1.457,56.000
0.985,-5.319,1.449,56.000
0.963,-5.309,1.446,54.000
0.942,-5.297,1.442,52.000
0.925,-5.312,1.445,60.000
0.898,-5.266,1.431,51.000
0.880,-5.263,1.430,50.000
0.859,-5.255,1.427,51.000
0.839,-5.244,1.423,48.000
0.817,-5.232,1.419,48.000
0.797,-5.212,1.413,54.000
0.775,-5.197,1.408,51.000
0.758,-5.194,1.406,60.000
0.735,-5.170,1.399,53.000
0.717,-5.165,1.397,53.000
0.694,-5.140,1.390,53.000
0.676,-5.127,1.386,52.000
0.659,-5.137,1.388,60.000
0.637,-5.113,1.381,51.000
0.618,-5.115,1.381,54.000
0.600,-5.100,1.376,50.000
0.579,-5.075,1.369,50.000
0.560,-5.073,1.368,50.000
0.542,-5.067,1.366,50.000
0.522,-5.058,1.362,51.000
0.502,-5.037,1.356,51.000
0.485,-5.027,1.353,57.000
0.465,-5.001,1.346,55.000
0.446,-4.999,1.345,57.000
0.427,-4.985,1.341,55.000
0.408,-4.969,1.336,54.000
0.389,-4.955,1.332,51.000
0.372,-4.963,1.333,57.000
0.354,-4.950,1.330,52.000
0.338,-4.948,1.329,54.000
0.319,-4.926,1.323,52.000
0.301,-4.917,1.320,51.000
0.283,-4.916,1.319,54.000
0.268,-4.915,1.319,51.000
0.250,-4.906,1.316,48.000
0.231,-4.884,1.310,54.000
